Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer
01-02-2022,South America,Antivirus,Online,Consumer,9009,15,1705,No
02-02-2022,South America,DevTools,Partner,Business,8202,13,1215,No
03-02-2022,North America,Database,Direct Sales,Consumer,9905,9,1699,Yes
04-02-2022,Asia,DevTools,Online,Consumer,2003,1,1258,Yes
05-02-2022,Australia,DevTools,Direct Sales,Business,959,6,1066,No
06-02-2022,Asia,DevTools,Online,Consumer,3436,8,1545,Yes
07-02-2022,Australia,Antivirus,Direct Sales,Business,1377,18,1851,Yes
08-02-2022,North America,Antivirus,Partner,Business,5279,18,980,No
09-02-2022,Europe,DevTools,Direct Sales,Business,6367,17,1191,No
10-02-2022,South America,Antivirus,Online,Business,5825,16,844,Yes
11-02-2022,North America,Database,Direct Sales,Business,2666,13,775,Yes
12-02-2022,South America,DevTools,Online,Consumer,9097,4,1667,No
13-02-2022,Europe,Antivirus,Direct Sales,Consumer,310,4,801,No
14-02-2022,Europe,CRM,Partner,Consumer,3545,14,1690,No
15-02-2022,North America,DevTools,Partner,Consumer,7218,5,1144,No
16-02-2022,Europe,DevTools,Direct Sales,Business,7693,16,1993,No
17-02-2022,Australia,Database,Direct Sales,Business,4220,14,796,No
18-02-2022,Europe,ERP,Direct Sales,Consumer,267,14,639,No
19-02-2022,South America,ERP,Online,Business,6219,14,613,Yes
20-02-2022,South America,Database,Direct Sales,Consumer,725,14,1753,Yes
21-02-2022,South America,Database,Direct Sales,Consumer,1168,19,1157,No
22-02-2022,South America,Database,Online,Consumer,6537,3,505,Yes
23-02-2022,Australia,ERP,Partner,Consumer,3194,17,1812,Yes
24-02-2022,Asia,Database,Direct Sales,Business,3545,14,1815,No
25-02-2022,North America,Antivirus,Direct Sales,Business,4919,10,1710,No
26-02-2022,South America,DevTools,Partner,Consumer,9788,13,872,No
27-02-2022,Europe,DevTools,Partner,Consumer,9658,4,1059,Yes
28-02-2022,South America,CRM,Online,Consumer,4221,11,1617,No
01-03-2022,Europe,CRM,Direct Sales,Consumer,2728,15,1234,No
02-03-2022,Europe,DevTools,Direct Sales,Consumer,3096,15,731,Yes
03-03-2022,South America,Antivirus,Online,Business,2761,2,864,No
04-03-2022,Australia,ERP,Partner,Consumer,5369,11,1959,Yes
05-03-2022,Europe,ERP,Online,Consumer,6108,2,727,Yes
06-03-2022,Europe,Antivirus,Partner,Business,4939,5,1589,No
07-03-2022,South America,ERP,Online,Business,4139,13,1217,No
08-03-2022,Europe,Database,Partner,Business,2192,1,1623,No
09-03-2022,Europe,DevTools,Online,Business,4877,7,1492,Yes
10-03-2022,South America,DevTools,Partner,Business,3477,7,1159,No
11-03-2022,South America,Antivirus,Partner,Business,5462,10,1031,Yes
12-03-2022,North America,ERP,Partner,Business,6784,6,1632,No
13-03-2022,Australia,CRM,Partner,Business,6370,12,985,No
14-03-2022,Australia,CRM,Partner,Business,4679,13,1682,No
15-03-2022,Europe,ERP,Direct Sales,Consumer,5605,11,1520,No
16-03-2022,Australia,CRM,Partner,Business,2920,18,1367,Yes
17-03-2022,Europe,Antivirus,Direct Sales,Consumer,340,2,1053,No
18-03-2022,North America,Antivirus,Partner,Consumer,6288,16,808,No
19-03-2022,South America,ERP,Direct Sales,Consumer,2600,2,1566,No
20-03-2022,South America,CRM,Direct Sales,Consumer,6723,19,637,No
21-03-2022,South America,Antivirus,Online,Consumer,7495,6,1956,Yes
22-03-2022,Australia,Antivirus,Partner,Consumer,9168,1,1968,Yes
23-03-2022,North America,Database,Online,Consumer,9585,11,695,No
24-03-2022,Australia,Database,Online,Consumer,204,18,656,Yes
25-03-2022,Australia,Antivirus,Partner,Business,9905,10,1119,No
26-03-2022,North America,ERP,Online,Consumer,6862,18,1946,Yes
27-03-2022,North America,DevTools,Partner,Consumer,6471,1,1100,No
28-03-2022,North America,DevTools,Online,Consumer,251,19,1046,Yes
29-03-2022,North America,Antivirus,Partner,Consumer,8626,16,1555,Yes
30-03-2022,South America,Antivirus,Partner,Business,1540,7,768,Yes
31-03-2022,Asia,Antivirus,Partner,Consumer,8390,15,1045,Yes
01-04-2022,Asia,ERP,Direct Sales,Business,254,1,937,Yes
02-04-2022,North America,Database,Online,Business,6495,9,1402,No
03-04-2022,Asia,Antivirus,Direct Sales,Consumer,4405,2,744,Yes
04-04-2022,Asia,Antivirus,Online,Consumer,2088,17,1323,No
05-04-2022,North America,CRM,Online,Business,1165,10,1786,No
06-04-2022,Asia,ERP,Online,Consumer,4457,6,1271,No
07-04-2022,Australia,Antivirus,Direct Sales,Consumer,1321,5,1525,No
08-04-2022,Europe,CRM,Online,Business,4916,8,613,No
09-04-2022,Europe,DevTools,Direct Sales,Business,6290,8,1174,No
10-04-2022,North America,Antivirus,Partner,Consumer,8291,5,642,No
11-04-2022,South America,Antivirus,Online,Consumer,6819,12,1399,No
12-04-2022,North America,CRM,Online,Consumer,745,7,922,No
13-04-2022,South America,ERP,Partner,Business,3144,13,931,No
14-04-2022,Europe,Antivirus,Partner,Consumer,2951,13,615,No
15-04-2022,North America,DevTools,Online,Business,9159,17,965,Yes
16-04-2022,Australia,Antivirus,Partner,Business,8691,4,1260,No
17-04-2022,Asia,DevTools,Direct Sales,Consumer,3764,18,1377,No
18-04-2022,South America,Database,Direct Sales,Business,804,10,600,No
19-04-2022,Asia,Database,Online,Consumer,8952,3,1477,Yes
20-04-2022,Asia,DevTools,Direct Sales,Consumer,8893,12,1233,Yes
21-04-2022,North America,ERP,Direct Sales,Business,8562,1,1305,No
22-04-2022,Asia,Antivirus,Online,Consumer,8466,11,1749,Yes
23-04-2022,Australia,Antivirus,Partner,Business,4855,18,1013,Yes
24-04-2022,Asia,Database,Online,Business,1857,13,761,No
25-04-2022,North America,DevTools,Direct Sales,Consumer,4827,17,1328,No
26-04-2022,Australia,Antivirus,Online,Consumer,4997,8,1918,Yes
27-04-2022,Europe,Antivirus,Online,Consumer,4950,19,1277,Yes
28-04-2022,Asia,ERP,Direct Sales,Consumer,5434,17,1748,No
29-04-2022,North America,CRM,Direct Sales,Business,2651,2,1636,No
30-04-2022,Europe,Database,Online,Business,3726,3,1277,No
01-05-2022,Europe,Database,Direct Sales,Business,4398,3,1471,No
02-05-2022,South America,CRM,Direct Sales,Consumer,1398,6,1110,No
03-05-2022,Australia,Antivirus,Direct Sales,Business,4608,10,1296,No
04-05-2022,Asia,ERP,Direct Sales,Business,8124,18,1261,Yes
05-05-2022,North America,ERP,Direct Sales,Consumer,8298,18,1564,No
06-05-2022,South America,Database,Direct Sales,Consumer,4174,14,1115,No
07-05-2022,Australia,ERP,Partner,Consumer,5236,16,650,Yes
08-05-2022,South America,CRM,Online,Business,433,7,1683,No
09-05-2022,Australia,Antivirus,Direct Sales,Consumer,6777,1,1527,No
10-05-2022,Australia,CRM,Online,Business,4106,17,1925,Yes
11-05-2022,Asia,DevTools,Partner,Business,4510,5,1143,Yes
12-05-2022,Australia,Database,Direct Sales,Business,8749,1,617,No
13-05-2022,South America,ERP,Online,Business,4672,17,682,Yes
14-05-2022,Australia,DevTools,Direct Sales,Business,310,10,1660,No
15-05-2022,Asia,ERP,Direct Sales,Consumer,2352,12,602,No
16-05-2022,Asia,Antivirus,Direct Sales,Business,4809,2,1862,Yes
17-05-2022,South America,Antivirus,Direct Sales,Consumer,4302,16,922,No
18-05-2022,Europe,Antivirus,Direct Sales,Business,8618,15,1848,No
19-05-2022,Europe,ERP,Direct Sales,Business,5467,13,1660,No
20-05-2022,Australia,DevTools,Direct Sales,Consumer,6927,18,1807,No
21-05-2022,North America,Antivirus,Partner,Business,4746,14,821,Yes
22-05-2022,Australia,DevTools,Partner,Business,4453,18,1394,Yes
23-05-2022,South America,ERP,Direct Sales,Consumer,4518,2,640,No
24-05-2022,South America,DevTools,Direct Sales,Consumer,4168,2,803,No
25-05-2022,South America,ERP,Partner,Business,5432,3,965,No
26-05-2022,South America,ERP,Partner,Business,2579,5,1611,No
27-05-2022,South America,Database,Partner,Business,8921,16,537,No
28-05-2022,Asia,ERP,Direct Sales,Consumer,3398,15,1855,Yes
29-05-2022,Europe,ERP,Online,Business,1560,12,606,Yes
30-05-2022,South America,CRM,Online,Consumer,1056,9,1065,Yes
31-05-2022,North America,Antivirus,Online,Consumer,233,14,622,No
01-06-2022,North America,Database,Online,Business,4286,16,1653,No
02-06-2022,North America,Database,Direct Sales,Consumer,1957,11,712,No
03-06-2022,North America,Database,Online,Business,314,6,1827,Yes
04-06-2022,Asia,CRM,Partner,Business,5248,10,1295,No
05-06-2022,North America,ERP,Partner,Consumer,6832,8,1923,Yes
06-06-2022,South America,Antivirus,Online,Consumer,949,16,936,No
07-06-2022,Australia,DevTools,Partner,Consumer,4663,3,1181,No
08-06-2022,North America,ERP,Direct Sales,Consumer,7462,2,1541,No
09-06-2022,Asia,CRM,Online,Consumer,9859,16,1748,No
10-06-2022,Asia,ERP,Online,Consumer,6705,19,1132,Yes
11-06-2022,North America,ERP,Direct Sales,Business,2524,9,1839,No
12-06-2022,Australia,CRM,Partner,Business,7194,16,677,No
13-06-2022,North America,Database,Direct Sales,Business,6020,4,1563,Yes
14-06-2022,Asia,Database,Direct Sales,Consumer,2197,10,1022,Yes
15-06-2022,Europe,Antivirus,Partner,Consumer,8526,19,652,Yes
16-06-2022,South America,Antivirus,Direct Sales,Consumer,4331,13,1080,No
17-06-2022,Asia,Database,Partner,Business,9624,18,1820,No
18-06-2022,North America,DevTools,Partner,Business,7257,15,1971,No
19-06-2022,South America,ERP,Direct Sales,Consumer,6481,4,1089,No
20-06-2022,North America,DevTools,Partner,Consumer,7311,9,1830,Yes
21-06-2022,North America,ERP,Direct Sales,Consumer,4833,4,1264,Yes
22-06-2022,Europe,Database,Partner,Consumer,5102,16,1576,Yes
23-06-2022,South America,Antivirus,Online,Business,8527,15,568,Yes
24-06-2022,South America,Antivirus,Partner,Business,6841,2,1336,Yes
25-06-2022,Europe,DevTools,Partner,Business,8983,14,605,No
26-06-2022,Asia,Antivirus,Direct Sales,Consumer,8919,3,903,No
27-06-2022,North America,Database,Partner,Business,9767,4,1350,No
28-06-2022,Australia,DevTools,Online,Consumer,7032,1,1711,Yes
29-06-2022,North America,ERP,Online,Consumer,5073,9,1341,Yes
30-06-2022,North America,Antivirus,Partner,Consumer,1746,17,1904,No
01-07-2022,Asia,CRM,Partner,Business,7083,14,1715,No
02-07-2022,North America,Antivirus,Online,Business,2987,17,734,No
03-07-2022,Europe,ERP,Direct Sales,Consumer,2901,1,1083,No
04-07-2022,Europe,DevTools,Online,Business,2459,10,1503,No
05-07-2022,South America,ERP,Online,Consumer,8764,16,1908,No
06-07-2022,Australia,CRM,Partner,Consumer,8693,19,1982,Yes
07-07-2022,North America,Database,Partner,Consumer,6347,3,1645,No
08-07-2022,North America,Antivirus,Online,Business,4783,12,1361,Yes
09-07-2022,Asia,DevTools,Direct Sales,Business,6754,3,1635,No
10-07-2022,Europe,Database,Online,Consumer,6112,15,910,Yes
11-07-2022,Australia,ERP,Online,Business,4216,17,925,Yes
12-07-2022,South America,DevTools,Direct Sales,Business,3858,18,1482,Yes
13-07-2022,Europe,Database,Online,Business,3890,7,1808,No
14-07-2022,South America,DevTools,Online,Business,5932,19,1955,No
15-07-2022,Asia,CRM,Partner,Consumer,6512,7,1012,No
16-07-2022,Asia,CRM,Direct Sales,Business,4572,5,1695,No
17-07-2022,North America,Antivirus,Partner,Consumer,9690,8,1777,Yes
18-07-2022,Australia,Antivirus,Partner,Consumer,930,16,1435,No
19-07-2022,South America,CRM,Direct Sales,Business,3536,16,1021,No
20-07-2022,Europe,DevTools,Direct Sales,Consumer,4249,19,1429,No
21-07-2022,Asia,CRM,Online,Consumer,268,15,1377,Yes
22-07-2022,North America,Antivirus,Partner,Business,3713,7,1410,Yes
23-07-2022,North America,CRM,Direct Sales,Consumer,2810,5,1429,No
24-07-2022,South America,CRM,Partner,Consumer,5110,11,1771,No
25-07-2022,Asia,DevTools,Partner,Business,3430,10,755,No
26-07-2022,Australia,Database,Direct Sales,Business,7289,9,1051,No
27-07-2022,Asia,Antivirus,Online,Business,5148,1,1379,Yes
28-07-2022,South America,DevTools,Partner,Business,1385,1,925,No
29-07-2022,South America,CRM,Direct Sales,Business,7526,8,1967,No
30-07-2022,Asia,CRM,Online,Consumer,1082,3,895,Yes
31-07-2022,South America,Database,Partner,Consumer,8407,2,1204,No
01-08-2022,Asia,Antivirus,Direct Sales,Business,9321,4,1816,No
02-08-2022,Europe,Antivirus,Partner,Business,3292,19,620,No
03-08-2022,Asia,ERP,Direct Sales,Consumer,9269,11,1731,Yes
04-08-2022,Asia,Antivirus,Direct Sales,Business,7951,5,1357,Yes
05-08-2022,South America,Database,Partner,Business,9232,10,548,No
06-08-2022,South America,ERP,Partner,Consumer,6696,8,1854,No
07-08-2022,North America,ERP,Direct Sales,Consumer,2433,13,559,Yes
08-08-2022,North America,CRM,Online,Consumer,8956,5,1273,Yes
09-08-2022,Europe,CRM,Partner,Business,1924,12,574,Yes
10-08-2022,North America,Antivirus,Direct Sales,Consumer,2209,13,607,No
11-08-2022,Asia,ERP,Direct Sales,Business,2784,8,1831,Yes
12-08-2022,South America,CRM,Online,Consumer,3112,15,1649,Yes
13-08-2022,North America,Database,Online,Business,5193,13,795,Yes
14-08-2022,North America,CRM,Online,Business,7163,1,1431,No
15-08-2022,Europe,CRM,Partner,Business,9269,6,1692,Yes
16-08-2022,Europe,ERP,Direct Sales,Consumer,976,11,1834,No
17-08-2022,Asia,ERP,Direct Sales,Consumer,9548,13,1202,No
18-08-2022,South America,DevTools,Direct Sales,Consumer,9221,1,1846,No
19-08-2022,Europe,Database,Online,Business,635,11,1262,No
20-08-2022,North America,ERP,Direct Sales,Consumer,3667,11,1532,Yes
21-08-2022,South America,Antivirus,Partner,Consumer,8150,8,1969,No
22-08-2022,South America,Database,Online,Business,6155,3,854,No
23-08-2022,North America,Database,Online,Business,7813,19,753,No
24-08-2022,Europe,ERP,Online,Consumer,7218,12,1013,Yes
25-08-2022,North America,Database,Online,Consumer,5018,6,747,Yes
26-08-2022,South America,ERP,Partner,Consumer,508,8,926,Yes
27-08-2022,Australia,CRM,Direct Sales,Business,5884,5,1614,Yes
28-08-2022,Australia,DevTools,Partner,Consumer,581,10,1216,No
29-08-2022,Asia,CRM,Direct Sales,Business,6077,16,1063,No
30-08-2022,North America,ERP,Partner,Business,8024,12,1053,No
31-08-2022,North America,ERP,Online,Consumer,5891,17,792,Yes
01-09-2022,Asia,CRM,Online,Consumer,9971,6,1171,Yes
02-09-2022,Asia,Antivirus,Partner,Business,4613,9,1437,Yes
03-09-2022,Asia,Antivirus,Partner,Business,7513,10,709,No
04-09-2022,South America,Antivirus,Direct Sales,Consumer,6705,14,1959,No
05-09-2022,North America,ERP,Partner,Consumer,9915,14,1165,No
06-09-2022,South America,Database,Partner,Consumer,7161,17,1922,Yes
07-09-2022,Asia,ERP,Direct Sales,Business,1724,16,702,Yes
08-09-2022,North America,Database,Direct Sales,Business,9560,4,1651,No
09-09-2022,South America,CRM,Direct Sales,Consumer,6711,2,1426,Yes
10-09-2022,South America,DevTools,Partner,Business,687,16,1730,No
11-09-2022,Asia,Database,Direct Sales,Business,6610,1,1401,No
12-09-2022,North America,Antivirus,Online,Consumer,8843,3,1944,Yes
13-09-2022,Asia,ERP,Online,Business,5813,11,1440,No
14-09-2022,North America,CRM,Online,Consumer,3605,16,1677,No
15-09-2022,Australia,Antivirus,Partner,Consumer,8227,18,1816,No
16-09-2022,Europe,CRM,Online,Business,7847,15,1572,No
17-09-2022,Europe,DevTools,Partner,Business,5487,9,1286,No
18-09-2022,Europe,ERP,Partner,Consumer,1628,12,909,Yes
19-09-2022,Asia,ERP,Online,Business,2585,18,1782,No
20-09-2022,Australia,DevTools,Direct Sales,Consumer,7411,5,1221,Yes
21-09-2022,North America,ERP,Partner,Business,8080,8,1431,No
22-09-2022,South America,Database,Online,Business,2865,3,619,Yes
23-09-2022,North America,CRM,Partner,Business,3743,2,1246,Yes
24-09-2022,South America,Antivirus,Direct Sales,Consumer,869,19,1547,Yes
25-09-2022,North America,DevTools,Direct Sales,Business,7163,8,1376,No
26-09-2022,Australia,Database,Online,Consumer,135,2,1173,Yes
27-09-2022,South America,Antivirus,Partner,Consumer,561,19,835,No
28-09-2022,Asia,Antivirus,Partner,Consumer,143,1,965,No
29-09-2022,North America,DevTools,Partner,Business,6489,13,1551,Yes
30-09-2022,North America,Database,Partner,Consumer,4232,17,836,Yes
01-10-2022,South America,Antivirus,Online,Consumer,3046,3,1433,No
02-10-2022,Asia,Antivirus,Direct Sales,Business,9136,9,1385,No
03-10-2022,Asia,Database,Online,Consumer,2009,5,1956,No
04-10-2022,Australia,ERP,Partner,Consumer,3955,6,591,Yes
05-10-2022,Asia,Antivirus,Partner,Business,9409,4,662,No
06-10-2022,Asia,CRM,Direct Sales,Consumer,4328,17,1259,No
07-10-2022,Asia,Database,Partner,Business,5591,16,1291,No
08-10-2022,Europe,Antivirus,Online,Consumer,895,16,560,No
09-10-2022,Australia,DevTools,Online,Consumer,7923,11,1739,No
10-10-2022,North America,CRM,Direct Sales,Business,4285,2,1242,No
11-10-2022,South America,Antivirus,Online,Consumer,8025,17,1020,No
12-10-2022,North America,CRM,Online,Consumer,2613,15,978,No
13-10-2022,Australia,CRM,Online,Consumer,4283,18,1792,No
14-10-2022,South America,ERP,Online,Business,7887,10,795,No
15-10-2022,Australia,CRM,Partner,Business,9741,6,741,No
16-10-2022,Asia,ERP,Online,Business,690,16,820,No
17-10-2022,South America,Database,Direct Sales,Business,8143,5,1438,Yes
18-10-2022,Asia,ERP,Direct Sales,Business,3077,12,1716,No
19-10-2022,North America,DevTools,Online,Consumer,5552,6,996,No
20-10-2022,North America,Antivirus,Direct Sales,Business,2972,14,760,No
21-10-2022,South America,Database,Online,Business,6173,16,814,No
22-10-2022,South America,Database,Direct Sales,Business,3603,7,1429,No
23-10-2022,Australia,DevTools,Direct Sales,Consumer,3403,2,869,Yes
24-10-2022,Australia,ERP,Online,Consumer,476,6,1816,No
25-10-2022,Asia,Antivirus,Online,Business,1555,9,656,Yes
26-10-2022,South America,ERP,Partner,Consumer,9179,7,549,No
27-10-2022,North America,CRM,Online,Consumer,9983,2,633,Yes
28-10-2022,Australia,ERP,Online,Consumer,7827,19,1768,Yes
29-10-2022,Australia,Database,Partner,Consumer,2939,8,1477,No
30-10-2022,North America,Antivirus,Online,Business,4084,11,1937,Yes
31-10-2022,Australia,ERP,Online,Business,7421,4,1004,Yes
01-11-2022,Asia,Antivirus,Partner,Consumer,9688,16,819,No
02-11-2022,South America,Antivirus,Online,Consumer,4609,18,1343,Yes
03-11-2022,North America,CRM,Online,Consumer,8312,13,1307,Yes
04-11-2022,South America,CRM,Partner,Consumer,9753,5,1387,Yes
05-11-2022,Australia,Database,Partner,Business,8747,2,1021,No
06-11-2022,Australia,DevTools,Direct Sales,Consumer,2349,11,509,No
07-11-2022,North America,Antivirus,Online,Business,180,1,553,No
08-11-2022,Asia,DevTools,Direct Sales,Consumer,4972,13,1496,No
09-11-2022,Europe,Database,Direct Sales,Business,5360,5,1285,Yes
10-11-2022,North America,Antivirus,Partner,Consumer,2092,18,1732,No
11-11-2022,Europe,Antivirus,Online,Business,2918,14,951,Yes
12-11-2022,Europe,DevTools,Online,Business,7675,13,1723,No
13-11-2022,Asia,ERP,Partner,Business,4756,7,1138,No
14-11-2022,Europe,CRM,Direct Sales,Consumer,3242,8,645,Yes
15-11-2022,Europe,ERP,Partner,Business,6264,18,1967,Yes
16-11-2022,Asia,DevTools,Online,Consumer,6562,7,1268,No
17-11-2022,Europe,CRM,Partner,Business,7717,17,1444,No
18-11-2022,Europe,ERP,Online,Business,1651,16,1506,No
19-11-2022,Europe,CRM,Direct Sales,Consumer,7441,11,1044,No
20-11-2022,North America,Antivirus,Online,Business,6034,19,1621,No
21-11-2022,North America,ERP,Direct Sales,Consumer,670,1,1805,Yes
22-11-2022,North America,CRM,Direct Sales,Consumer,7797,8,1081,No
23-11-2022,Asia,CRM,Online,Consumer,3892,1,1486,Yes
24-11-2022,Australia,CRM,Online,Consumer,3371,9,1636,No
25-11-2022,Europe,ERP,Direct Sales,Business,4536,19,785,No
26-11-2022,Europe,Database,Partner,Business,3527,9,999,Yes
27-11-2022,Asia,ERP,Online,Consumer,3449,10,663,No
28-11-2022,Europe,DevTools,Direct Sales,Business,8100,11,1403,Yes
29-11-2022,North America,ERP,Direct Sales,Business,1333,1,1701,Yes
30-11-2022,Australia,CRM,Partner,Consumer,9709,8,1416,No
01-12-2022,South America,Antivirus,Online,Business,5594,12,770,Yes
02-12-2022,Europe,ERP,Direct Sales,Consumer,1911,1,1320,No
03-12-2022,North America,ERP,Partner,Business,1399,10,1752,No
04-12-2022,South America,CRM,Direct Sales,Business,5956,4,954,No
05-12-2022,Australia,Antivirus,Online,Consumer,6367,15,1749,No
06-12-2022,South America,Antivirus,Partner,Business,625,19,1677,No
07-12-2022,North America,DevTools,Direct Sales,Business,2506,6,533,No
08-12-2022,South America,ERP,Partner,Consumer,7975,5,859,No
09-12-2022,Asia,Antivirus,Online,Business,591,5,1314,Yes
10-12-2022,South America,Antivirus,Partner,Consumer,8565,18,1576,No
11-12-2022,Europe,Database,Online,Business,6616,3,1821,Yes
12-12-2022,Europe,Database,Direct Sales,Consumer,4401,2,1462,No
13-12-2022,Asia,Antivirus,Online,Consumer,3530,4,1071,No
14-12-2022,North America,DevTools,Direct Sales,Consumer,291,18,777,Yes
15-12-2022,Europe,Antivirus,Direct Sales,Consumer,8270,9,1640,Yes
16-12-2022,Australia,CRM,Online,Consumer,1513,19,810,Yes
17-12-2022,Europe,ERP,Direct Sales,Business,3164,10,1543,Yes
18-12-2022,Europe,DevTools,Partner,Business,5734,15,772,No
19-12-2022,North America,CRM,Direct Sales,Consumer,2535,1,637,No
20-12-2022,South America,DevTools,Online,Business,5022,11,877,Yes
21-12-2022,Europe,CRM,Partner,Consumer,8112,14,927,No
22-12-2022,Asia,ERP,Partner,Business,4758,10,1471,Yes
23-12-2022,South America,ERP,Direct Sales,Business,9495,19,741,Yes
24-12-2022,Australia,Database,Direct Sales,Consumer,8490,16,1895,Yes
25-12-2022,North America,CRM,Online,Consumer,3397,8,1332,Yes
26-12-2022,Australia,Database,Partner,Business,4060,2,1236,Yes
27-12-2022,South America,CRM,Online,Business,4291,7,1152,No
28-12-2022,South America,Database,Direct Sales,Consumer,6299,19,1350,Yes
29-12-2022,South America,ERP,Partner,Business,2939,7,534,Yes
30-12-2022,Australia,DevTools,Online,Business,9696,15,1985,No
31-12-2022,South America,Database,Online,Consumer,6126,8,1336,Yes
01-01-2022,Australia,CRM,Online,Business,4054,14,553,Yes
02-01-2022,South America,CRM,Online,Consumer,6486,1,1385,No
03-01-2022,Asia,ERP,Online,Consumer,4015,13,1156,No
04-01-2022,South America,CRM,Partner,Consumer,8196,3,536,No
05-01-2022,Australia,Antivirus,Online,Business,5722,6,1887,No
06-01-2022,Europe,DevTools,Partner,Business,516,19,516,No
07-01-2022,South America,Database,Online,Consumer,1850,15,1367,Yes
08-01-2022,Europe,DevTools,Direct Sales,Consumer,8663,4,1943,Yes
09-01-2022,Asia,ERP,Direct Sales,Business,5673,3,856,Yes
10-01-2022,North America,Database,Online,Business,9508,4,881,No
11-01-2022,Asia,Database,Direct Sales,Business,817,5,501,No
12-01-2022,South America,Antivirus,Partner,Consumer,3023,18,600,No
13-01-2022,Europe,ERP,Online,Consumer,2016,10,567,No
14-01-2022,Europe,CRM,Partner,Business,5583,8,1734,No
15-01-2022,Australia,Antivirus,Online,Business,3890,12,1755,No
16-01-2022,Europe,Antivirus,Direct Sales,Business,1657,3,1590,Yes
17-01-2022,Australia,DevTools,Partner,Consumer,6463,18,1029,No
18-01-2022,North America,DevTools,Direct Sales,Consumer,5409,8,1732,Yes
19-01-2022,South America,DevTools,Direct Sales,Business,2820,1,1310,Yes
20-01-2022,Australia,Antivirus,Online,Business,4850,14,956,Yes
21-01-2022,North America,CRM,Partner,Consumer,7483,13,1156,No
22-01-2022,Europe,Database,Direct Sales,Consumer,2132,12,599,No
23-01-2022,Europe,DevTools,Online,Business,3000,3,1917,No
24-01-2022,North America,CRM,Online,Business,3526,18,1429,No
25-01-2022,Europe,ERP,Online,Business,7493,13,1597,No
26-01-2022,North America,DevTools,Direct Sales,Consumer,8485,15,1515,Yes
27-01-2022,Australia,Database,Online,Business,3826,10,1502,Yes
28-01-2022,Australia,ERP,Partner,Consumer,3037,1,526,No
29-01-2022,North America,ERP,Partner,Consumer,8906,6,1288,Yes
30-01-2022,Australia,Database,Direct Sales,Business,9994,9,1733,Yes
31-01-2022,Australia,DevTools,Partner,Business,6737,10,567,No
01-02-2022,Australia,Antivirus,Online,Consumer,9901,15,1934,Yes
02-02-2022,Asia,Database,Direct Sales,Business,6634,9,1136,Yes
03-02-2022,South America,Database,Online,Consumer,7361,14,935,No
04-02-2022,Europe,Database,Direct Sales,Business,3948,11,1298,Yes
05-02-2022,Asia,ERP,Direct Sales,Business,4386,7,1702,No
06-02-2022,Australia,CRM,Online,Business,1527,2,1212,No
07-02-2022,North America,Antivirus,Partner,Business,8245,14,1468,No
08-02-2022,Australia,DevTools,Partner,Consumer,9317,6,1250,Yes
09-02-2022,South America,DevTools,Direct Sales,Consumer,6272,5,1447,Yes
10-02-2022,Australia,CRM,Online,Consumer,3502,5,707,Yes
